jZrie, k3, 1

KilAPZ, vmod, 2

hewu, rt, 1

se lekara, rsp, 16
se lekara, nmod, 4
se lekara, vmod, 3
se lekara, ccof, 2

se bawOra, ras-k1, 1

se pare, k1s, 1
se pare, nmod, 1

se alaga, vmod, 1

se, k5, 1037
se, adv, 445
se, k2, 443
se, rh, 401
se, lwg\_\_psp, 303
se, k7t, 298
se, k3, 297
se, k4, 275
se, ras-k1, 235
se, jjmod, 228
se, ccof, 166
se, nmod, 164
se, rsp, 120
se, k7p, 79
se, k7, 62
se, vmod, 61
se, rt, 46
se, ras-k2, 41
se, lwg\_\_vaux, 30
se, rsym, 28
se, k1, 11
se, k1u, 10
se, rd, 7
se, k1s, 7
se, k2p, 7
se, k2s, 6
se, r6, 5
se, k2g, 5
se, lwg\_\_rp, 4
se, pof\_\_redup, 4
se, k2u, 4
se, jk1, 3
se, k4a, 3
se, k7a, 3
se, k7u, 2
se, pof, 2
se, sent-adv, 2
se, ras-r6-k2, 2
se, ras-rt, 1
se, ras-k4a, 1
se, nmod\_\_adj, 1
se, ras-pof, 1

sI, k1s, 1

sahiwa, ccof, 26
sahiwa, vmod, 14
sahiwa, ras-k1, 9
sahiwa, ras-k2, 7
sahiwa, nmod, 2
sahiwa, rsym, 1
sahiwa, ras-k7, 1
sahiwa, ras-k7p, 1
sahiwa, adv, 1

sarIKe, k7pu, 1

sarIKI, nmod, 2

sarIKA, k1u, 1

samewa, vmod, 50
samewa, ccof, 43
samewa, ras-k1, 14
samewa, ras-k2, 5
samewa, nmod, 3
samewa, ras-pof, 1
samewa, ras-k7, 1
samewa, ras-r6, 1
samewa, rsym, 1

samAna, k1u, 1
samAna, k2s, 1

samaya, k7t, 1

vAloM se, k5, 1
vAloM se, k4, 1

vAloM meM, k7, 8

vAloM para, k7, 2

vAloM ne, k1, 2

vAloM xvArA, k1, 1

vAloM ko, k4, 8
vAloM ko, k2, 3
vAloM ko, k1, 2
vAloM ko, ccof, 2

vAloM ke viruxXa, vmod, 1

vAloM ke lie, rt, 4

vAloM ke bAre, k7, 1

vAloM ke KilAPZ, vmod, 1

vAloM ke, r6, 2
vAloM ke, vmod, 1

vAloM kI, r6, 5
vAloM kI, ccof, 1
vAloM kI, nmod, 1

vAloM kA, r6, 1
vAloM kA, k1, 1

vAloM, ccof, 1

vAle para, k7, 1

vAle ne, k1, 2

vAle ko, k2, 1

vAle ke lie, rt, 2

vAle ke bAre, k7, 1

vAle ke, vmod, 3
vAle ke, r6, 1
vAle ke, k7, 1

vAle, nmod, 352
vAle, lwg\_\_vaux, 35
vAle, nmod\_\_k1inv, 15
vAle, k1, 12
vAle, ccof, 10
vAle, k1s, 2
vAle, nmod\_\_relc, 1
vAle, r6, 1
vAle, pof\_\_cn, 1
vAle, nmod\_\_k2inv, 1
vAle, nmod\_\_pofinv, 1
vAle, jjmod, 1
vAle, k7t, 1
vAle, ras-neg, 1

vAlI, nmod, 204
vAlI, lwg\_\_vaux, 16
vAlI, nmod\_\_k1inv, 12
vAlI, ccof, 11
vAlI, nmod\_\_k2inv, 1
vAlI, r6, 1
vAlI, jjmod, 1

vAlA, nmod, 36
vAlA, k1s, 7
vAlA, ccof, 4
vAlA, lwg\_\_vaux, 3
vAlA, k1, 2
vAlA, nmod\_\_k1inv, 2
vAlA, rsym, 1
vAlA, k2s, 1

vajaha se, rh, 1

lie, rt, 141
lie, k4a, 1
lie, r6, 1
lie, vmod, 1

lAyaka, vmod, 2
lAyaka, k1s, 1
lAyaka, k1, 1

meM se, k5, 37
meM se, k7, 14
meM se, nmod, 4
meM se, ccof, 3
meM se, k7p, 1

meM bawOra, k7p, 3
meM bawOra, k7t, 1

meM, k7, 4180
meM, k7p, 2827
meM, k7t, 670
meM, ccof, 263
meM, lwg\_\_psp, 182
meM, jjmod, 137
meM, nmod, 131
meM, lwg\_\_rp, 70
meM, rsym, 42
meM, adv, 22
meM, k2p, 18
meM, k2, 14
meM, lwg\_\_vaux, 8
meM, pof, 7
meM, k1, 7
meM, sent-adv, 5
meM, rt, 4
meM, rd, 4
meM, vmod, 3
meM, k1s, 2
meM, pof\_\_redup, 1
meM, pof\_\_cn, 1
meM, r6, 1
meM, k5, 1
meM, k2s, 1
meM, nmod\_\_adj, 1
meM, k2u, 1
meM, k1u, 1

me, k7, 1

muwAbika, k7a, 13
muwAbika, k7, 1

maxxenajZra, k7a, 1

maxxenajara, k7a, 4
maxxenajara, jjmod, 1

bAvajUxa, vmod, 10
bAvajUxa, k7a, 4

bAre meM, k7, 105

bAbawa, k7, 5
bAbawa, nmod, 1
bAbawa, k2, 1

banAma, nmod, 1

baxale, vmod, 3

bawOra, k2, 2
bawOra, lwg\_\_rp, 2
bawOra, nmod, 2
bawOra, main, 1
bawOra, vmod, 1
bawOra, ccof, 1
bawOra, nmod\_\_relc, 1

bakOla, </s>, 10

POYra, pof\_\_cn, 1

prawi, rd, 2
prawi, k3, 1
prawi, rt, 1

para se, ccof, 1
para se, k5, 1
para se, k7, 1

para, k7, 2364
para, k7p, 615
para, ccof, 102
para, lwg\_\_vaux, 63
para, k7t, 54
para, jjmod, 54
para, nmod, 33
para, lwg\_\_psp, 32
para, k2, 26
para, adv, 16
para, vmod, 15
para, rsym, 14
para, k2p, 11
para, pof\_\_redup, 7
para, rh, 6
para, k1, 3
para, rt, 2
para, nmod\_\_adj, 2
para, k4, 1
para, main, 1
para, k5, 1

ne bawOra, k1, 1

ne, k1, 4916
ne, ccof, 144
ne, rsym, 48
ne, lwg\_\_rp, 4
ne, pk1, 3
ne, r6, 2
ne, k2, 1
ne, r6-k1, 1

xvArA, k1, 294
xvArA, jjmod, 40
xvArA, k3, 29
xvArA, ccof, 19
xvArA, nmod, 11
xvArA, rsym, 8
xvArA, k2, 3
xvArA, r6-k1, 1
xvArA, mk1, 1
xvArA, jk1, 1
xvArA, k7p, 1

wahawa, k7a, 31
wahawa, k7, 2
wahawa, vmod, 1

wale, k7, 2
wale, k7p, 1

waka se, k5, 1

waka meM, k7, 2

waka ke lie, rt, 8
waka ke lie, k7t, 5

waka ke, r6, 6
waka ke, k7t, 1

waka kI, r6, 7
waka kI, r6-k2, 4
waka kI, r6-k1, 3
waka kI, rsym, 1

waka kA, r6, 11
waka kA, r6-k2, 2

waka, k7t, 440
waka, k7, 79
waka, k7p, 33
waka, k2p, 20
waka, sent-adv, 17
waka, lwg\_\_psp, 14
waka, ccof, 11
waka, vmod, 9
waka, k1s, 8
waka, nmod, 6
waka, k2, 6
waka, k1, 5
waka, pof, 3
waka, lwg\_\_vaux, 3
waka, jjmod, 2
waka, rs, 2
waka, adv, 2
waka, pof\_\_redup, 1
waka, k2s, 1
waka, k4, 1
waka, k5, 1
waka, r6, 1

jEse, ccof, 44
jEse, nmod, 23
jEse, k1u, 7
jEse, rsym, 5
jEse, k2u, 4
jEse, k7u, 3
jEse, lwg\_\_rp, 2
jEse, k7pu, 1
jEse, lwg\_\_vaux, 1

jEsI, ccof, 13
jEsI, nmod, 9
jEsI, k1u, 5
jEsI, k2u, 4
jEsI, rsym, 3
jEsI, k7t, 1
jEsI, k7u, 1

jEsA, nmod, 6
jEsA, k2u, 3
jEsA, k1u, 2
jEsA, adv, 1
jEsA, k7pu, 1

jAnabUJakara, k1, 1

jariye, k3, 1

jarie, k3, 9
jarie, rh, 1

calawe, rh, 12
calawe, vmod, 6

